9
Framenumber:     0 Time [yr]:   0.000 Step:          1 Energy:  -0.198E+30
Saturn      7  0.130E+09 -0.150E+10  0.209E+08  0.909E+01  0.808E+00 -0.376E+00
Uranus      8  0.261E+10  0.143E+10 -0.285E+08 -0.333E+01  0.565E+01  0.638E-01
Neptune     9  0.431E+10 -0.121E+10 -0.744E+08  0.144E+01  0.526E+01 -0.142E+00
9
Framenumber:    16 Time [yr]:   0.507 Step:      16000 Energy:  -0.198E+30
Sun         1  0.108E+06  0.103E+07 -0.141E+05 -0.122E-01  0.656E-02  0.298E-03
Mercury     2 -0.424E+08  0.295E+08  0.622E+07 -0.371E+02 -0.384E+02  0.261E+00
Venus       3 -0.107E+09 -0.111E+08  0.598E+07  0.368E+01 -0.350E+02 -0.693E+00
Earth       4 -0.909E+07 -0.151E+09 -0.710E+04  0.292E+02 -0.190E+01  0.279E-03
Mars        5  0.385E+08 -0.210E+09 -0.538E+07  0.247E+02  0.642E+01 -0.473E+00
Jupiter     6 -0.506E+09 -0.628E+09  0.139E+08  0.100E+02 -0.757E+01 -0.193E+00
Saturn      7  0.140E+09 -0.150E+10  0.205E+08  0.908E+01  0.866E+00 -0.377E+00
Uranus      8  0.260E+10  0.144E+10 -0.284E+08 -0.334E+01  0.564E+01  0.640E-01
Neptune     9  0.431E+10 -0.121E+10 -0.745E+08  0.143E+01  0.527E+01 -0.142E+00
9
Framenumber:    17 Time [yr]:   0.539 Step:      17000 Energy:  -0.198E+30
Sun         1  0.955E+05  0.103E+07 -0.138E+05 -0.123E-01  0.637E-02  0.304E-03
Mercury     2 -0.589E+08 -0.152E+08  0.407E+07  0.278E+01 -0.449E+02 -0.392E+01
Venus       3 -0.974E+08 -0.448E+08  0.498E+07  0.146E+02 -0.319E+02 -0.128E+01
Earth       4  0.201E+08 -0.150E+09 -0.695E+04  0.290E+02  0.381E+01  0.236E-04
Mars        5  0.629E+08 -0.202E+09 -0.582E+07  0.240E+02  0.923E+01 -0.397E+00
Jupiter     6 -0.496E+09 -0.636E+09  0.137E+08  0.101E+02 -0.741E+01 -0.196E+00
Saturn      7  0.149E+09 -0.150E+10  0.201E+08  0.908E+01  0.925E+00 -0.378E+00
Uranus      8  0.260E+10  0.144E+10 -0.283E+08 -0.336E+01  0.564E+01  0.641E-01
Neptune     9  0.431E+10 -0.120E+10 -0.746E+08  0.143E+01  0.527E+01 -0.142E+00
9
Framenumber:    18 Time [yr]:   0.570 Step:      18000 Energy:  -0.198E+30
Sun         1  0.831E+05  0.104E+07 -0.135E+05 -0.125E-01  0.616E-02  0.308E-03
Mercury     2 -0.419E+08 -0.526E+08 -0.540E+06  0.285E+02 -0.278E+02 -0.488E+01
Venus       3 -0.779E+08 -0.737E+08  0.346E+07  0.240E+02 -0.255E+02 -0.173E+01
Earth       4  0.486E+08 -0.143E+09 -0.705E+04  0.277E+02  0.938E+01 -0.222E-03
Mars        5  0.865E+08 -0.192E+09 -0.617E+07  0.230E+02  0.120E+02 -0.313E+00
Jupiter     6 -0.486E+09 -0.643E+09  0.135E+08  0.103E+02 -0.725E+01 -0.200E+00
Saturn      7  0.158E+09 -0.150E+10  0.197E+08  0.907E+01  0.983E+00 -0.379E+00
Uranus      8  0.260E+10  0.145E+10 -0.283E+08 -0.337E+01  0.563E+01  0.643E-01
Neptune     9  0.432E+10 -0.120E+10 -0.748E+08  0.142E+01  0.527E+01 -0.142E+00
9
Framenumber:    19 Time [yr]:   0.602 Step:      19000 Energy:  -0.198E+30
Sun         1  0.705E+05  0.105E+07 -0.132E+05 -0.126E-01  0.595E-02  0.312E-03
Mercury     2 -0.714E+07 -0.681E+08 -0.500E+07  0.387E+02 -0.256E+01 -0.376E+01
Venus       3 -0.503E+08 -0.948E+08  0.158E+07  0.308E+02 -0.164E+02 -0.200E+01
Earth       4  0.752E+08 -0.131E+09 -0.739E+04  0.254E+02  0.146E+02 -0.450E-03
Mars        5  0.109E+09 -0.178E+09 -0.644E+07  0.216E+02  0.146E+02 -0.224E+00
Jupiter     6 -0.475E+09 -0.650E+09  0.133E+08  0.104E+02 -0.709E+01 -0.203E+00
Saturn      7  0.167E+09 -0.149E+10  0.193E+08  0.907E+01  0.104E+01 -0.379E+00
Uranus      8  0.259E+10  0.146E+10 -0.282E+08 -0.338E+01  0.562E+01  0.644E-01
Neptune     9  0.432E+10 -0.119E+10 -0.749E+08  0.141E+01  0.527E+01 -0.142E+00
9
Framenumber:    20 Time [yr]:   0.634 Step:      20000 Energy:  -0.198E+30
Sun         1  0.579E+05  0.105E+07 -0.129E+05 -0.127E-01  0.573E-02  0.315E-03
Mercury     2  0.303E+08 -0.569E+08 -0.752E+07  0.334E+02  0.250E+02 -0.103E+01
Venus       3 -0.175E+08 -0.106E+09 -0.471E+06  0.343E+02 -0.577E+01 -0.206E+01
Earth       4  0.990E+08 -0.114E+09 -0.794E+04  0.221E+02  0.193E+02 -0.650E-03
Mars        5  0.130E+09 -0.162E+09 -0.662E+07  0.199E+02  0.171E+02 -0.130E+00
Jupiter     6 -0.465E+09 -0.657E+09  0.131E+08  0.105E+02 -0.692E+01 -0.206E+00
Saturn      7  0.176E+09 -0.149E+10  0.190E+08  0.906E+01  0.110E+01 -0.380E+00
Uranus      8  0.259E+10  0.146E+10 -0.281E+08 -0.339E+01  0.561E+01  0.645E-01
Neptune     9  0.432E+10 -0.119E+10 -0.751E+08  0.141E+01  0.527E+01 -0.142E+00
9
Framenumber:    21 Time [yr]:   0.665 Step:      21000 Energy:  -0.198E+30
Sun         1  0.451E+05  0.106E+07 -0.125E+05 -0.128E-01  0.551E-02  0.317E-03
Mercury     2  0.531E+08 -0.196E+08 -0.657E+07  0.820E+01  0.476E+02  0.313E+01
Venus       3  0.172E+08 -0.106E+09 -0.247E+07  0.343E+02  0.544E+01 -0.191E+01
Earth       4  0.119E+09 -0.928E+08 -0.868E+04  0.179E+02  0.233E+02 -0.815E-03
Mars        5  0.148E+09 -0.144E+09 -0.670E+07  0.179E+02  0.194E+02 -0.318E-01
Jupiter     6 -0.454E+09 -0.664E+09  0.129E+08  0.106E+02 -0.676E+01 -0.210E+00
Saturn      7  0.185E+09 -0.149E+10  0.186E+08  0.905E+01  0.116E+01 -0.381E+00
Uranus      8  0.259E+10  0.147E+10 -0.281E+08 -0.341E+01  0.561E+01  0.647E-01
Neptune     9  0.432E+10 -0.118E+10 -0.752E+08  0.140E+01  0.528E+01 -0.142E+00
9
Framenumber:    22 Time [yr]:   0.697 Step:      22000 Energy:  -0.198E+30
Sun         1  0.323E+05  0.106E+07 -0.122E+05 -0.129E-01  0.529E-02  0.319E-03
Mercury     2  0.391E+08  0.291E+08 -0.131E+07 -0.379E+02  0.417E+02  0.689E+01
Venus       3  0.500E+08 -0.953E+08 -0.422E+07  0.308E+02  0.161E+02 -0.156E+01
Earth       4  0.135E+09 -0.679E+08 -0.956E+04  0.131E+02  0.264E+02 -0.940E-03
Mars        5  0.165E+09 -0.124E+09 -0.668E+07  0.155E+02  0.214E+02  0.676E-01
Jupiter     6 -0.444E+09 -0.671E+09  0.127E+08  0.107E+02 -0.659E+01 -0.213E+00
Saturn      7  0.194E+09 -0.149E+10  0.182E+08  0.905E+01  0.122E+01 -0.382E+00
Uranus      8  0.258E+10  0.147E+10 -0.280E+08 -0.342E+01  0.560E+01  0.648E-01
Neptune     9  0.432E+10 -0.118E+10 -0.754E+08  0.139E+01  0.528E+01 -0.142E+00
9
Framenumber:    23 Time [yr]:   0.729 Step:      23000 Energy:  -0.198E+30
Sun         1  0.194E+05  0.107E+07 -0.119E+05 -0.129E-01  0.509E-02  0.322E-03
Mercury     2 -0.137E+08  0.458E+08  0.490E+07 -0.564E+02 -0.125E+02  0.415E+01
Venus       3  0.778E+08 -0.746E+08 -0.554E+07  0.242E+02  0.250E+02 -0.105E+01
Earth       4  0.145E+09 -0.404E+08 -0.105E+05  0.768E+01  0.285E+02 -0.102E-02
Mars        5  0.179E+09 -0.102E+09 -0.656E+07  0.129E+02  0.231E+02  0.167E+00
Jupiter     6 -0.433E+09 -0.677E+09  0.125E+08  0.109E+02 -0.641E+01 -0.216E+00
Saturn      7  0.203E+09 -0.149E+10  0.178E+08  0.904E+01  0.127E+01 -0.382E+00
Uranus      8  0.258E+10  0.148E+10 -0.279E+08 -0.343E+01  0.559E+01  0.650E-01
Neptune     9  0.432E+10 -0.117E+10 -0.755E+08  0.139E+01  0.528E+01 -0.141E+00
9
Framenumber:    24 Time [yr]:   0.761 Step:      24000 Energy:  -0.198E+30
Sun         1  0.640E+04  0.107E+07 -0.116E+05 -0.130E-01  0.490E-02  0.324E-03
Mercury     2 -0.540E+08  0.126E+08  0.588E+07 -0.203E+02 -0.455E+02 -0.186E+01
Venus       3  0.975E+08 -0.461E+08 -0.629E+07  0.150E+02  0.315E+02 -0.435E+00
Earth       4  0.150E+09 -0.112E+08 -0.116E+05  0.194E+01  0.296E+02 -0.105E-02
Mars        5  0.191E+09 -0.777E+08 -0.635E+07  0.101E+02  0.245E+02  0.264E+00
Jupiter     6 -0.422E+09 -0.684E+09  0.123E+08  0.110E+02 -0.624E+01 -0.219E+00
